Poll source,Date,"Barack Obama
Democratic","Mitt Romney
Republican","Leading 
by %","Sample
Size*","Margin 
of Error 
(MoE)"
NBC News/Wall Street Journal,"September 26–30, 2012",49%,46%,3,832 LV,±3.40%
Quinnipiac University,"September 25–30, 2012",49%,45%,4,1912 LV,±2.2%
Gallup (Daily Tracking),"September 24–30, 2012",49%,45%,4,3050 RV,±2%
Washington Times/JZ Analytics,"September 27–29, 2012",49.70%,41.10%,8.6,800 LV,±3.5%
"ABC News/Washington Post ArchivedOctober 20, 2012, at the Wayback Machine","September 26–29, 2012",49%,47%,2,813 LV,±4%
UPI/CVOTER,"September 23–29, 2012",49%,46%,3,855 LV,±4.5%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 25–27, 2012",47%,46%,1,1500 LV,±3%
Merriman River Group,"September 24–27, 2012",49%,46%,3,981 RV,±3.1%
Politico/George Washington University/Tarrance Group/Lake Research Partners,"September 24–27, 2012",49%,47%,2,1000 LV,±3.1%
Fox News,"September 24–26, 2012",48%,43%,5,1092 LV,±3%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 22–24, 2012",47%,46%,1,1000 LV,±3%
The Economist/YouGov,"September 22–24, 2012",48%,43%,5,943 RV,Not reported
Bloomberg/Selzer & Co.,"September 21–24, 2012",49%,43%,6,789 LV,±3.5%
Reuters/Ipsos,"September 20–24, 2012",49%,43%,6,1095 LV,±3.5%
Daily Kos/Service Employees' International Union/Public Policy Polling (D),"September 20–23, 2012",50%,45%,5,1200 LV,±2.8%
Gallup (Daily Tracking),"September 17–23, 2012",48%,46%,2,3050 RV,±2%
JZ Analytics,"September 21–22, 2012",49%,40.70%,8.3,860 LV,±3.4%
UPI/CVOTER,"September 16–22, 2012",49%,46%,3,761 LV,±4.5%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 19–21, 2012",46%,46%,Tied,1500 LV,±3%
American Research Group,"September 16–20, 2012",49%,47%,2,761 LV,±3.6%
Politico/George Washington University/Tarrance Group/Lake Research Partners,"September 16–20, 2012",50%,46%,4,1000 LV,±3.1%
Angus Reid Public Opinion[permanent dead link],"September 19–20, 2012",48%,46%,2,805 RV,Not reported
Allstate/Heartland Monitor/National JournalFTI Communications,"September 15–19, 2012",50%,43%,7,1055 LV,±3%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 16–18, 2012",46%,47%,1,1500 LV,±3%
University of Connecticut/Hartford Courant,"September 11–18, 2012",46%,43%,3,1148 LV,±3%
The Economist/YouGov,"September 15–17, 2012",49%,44%,5,943 RV,Not reported
Reason-Rupe,"September 13–17, 2012",52%,45%,7,787 LV,±4.3%
Associated Press/GfK Group/Roper,"September 13–17, 2012",47%,46%,1,807 LV,±4.3%
Reuters/Ipsos (Daily Tracking),"September 12–17, 2012",48%,43%,5,591 LV,±4.1%
Daily Kos/Service Employees' International Union/Public Policy Polling (D),"September 13–16, 2012",50%,46%,4,1000 LV,±3.1%
Monmouth University,"September 13–16, 2012",48%,45%,3,1344 LV,±2.5%
Pew Research Center,"September 12–16, 2012",51%,43%,8,"2,192 LV",±2.4%
NBC News/Wall Street Journal,"September 12–16, 2012",50%,45%,5,736 LV,±3.61%
Gallup (Daily Tracking),"September 10–16, 2012",48%,45%,3,3050 RV,±2%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 13–15, 2012",46%,47%,1,1500 LV,±3%
UPI/CVOTER,"September 8–14, 2012",49%,45%,4,3000 RV,±3%
"JZ Analytics Archived April 1, 2015, at the Wayback Machine","September 11–12, 2012",47.70%,42%,5.7,1014 LV,±3.1%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 10–12, 2012",46%,47%,1,1500 LV,±3%
CBS News/New York Times,"September 8–12, 2012",49%,46%,3,1162 LV,±3%
"Democracy Corps/Greenberg Quinlan Rosner (D) Archived October 21, 2012, at the Wayback Machine","September 8–12, 2012",50%,45%,5,1000 LV,±3.1%
Fox News/Anderson Robbins/Shaw & Company,"September 9–11, 2012",48%,43%,5,1056 LV,±3%
The Economist/YouGov,"September 8–10, 2012",49%,45%,4,818 RV,Not reported
Reuters/Ipsos,"September 7–10, 2012",48%,45%,3,873 LV,Not reported
Esquire/Yahoo! News/Langer Research Associates,"September 7–10, 2012",50%,46%,4,724 LV,±5%
Rasmussen Reports/Pulse Opinion Research (Daily Tracking),"September 7–9, 2012",50%,45%,5,1500 LV,±3%
Daily Kos/Service Employees' International Union/Public Policy Polling (D),"September 7–9, 2012",50%,44%,6,1000 LV,±3.1%
ABC News/Washington Post,"September 7–9, 2012",49%,48%,1,710 LV,±4.5%
CNN/Opinion Research Corporation,"September 7–9, 2012",52%,46%,6,709 LV,±3.5%
Investor's Business Daily/Christian Science Monitor/TIPP,"September 4–9, 2012",46%,44%,2,808 RV,±3.5%
Gallup (Daily Tracking),"September 3–9, 2012",49%,44%,5,3050 RV,±2%
